occupation,soc_code,emp_2024,emp_2034,emp_change_num,emp_change_pct,median_wage_2024,education_required,annual_openings,automation_prob,occupation_fo,risk_tier,soc_major,occupation_group,education_level,wage_norm,edu_norm,adaptive_capacity_score,vulnerable,growth_direction,genai_exposure_2025,genai_exposure_2023
"        Crushing, grinding, and polishing machine setters, operators, and tenders",51-9021,28.7,27.9,-0.7,-2.5,46890.0,High school diploma or equivalent,2.7,0.97,"Crushing, grinding, and polishing machine setters, operators, and tenders",High,51,Production,1.0,0.0851659539808593,0.16666666666666666,0.125916310323763,True,Declining,0.1975,0.1875
"        Grinding and polishing workers, hand",51-9022,11.8,9.3,-2.5,-21.2,41690.0,No formal educational credential,0.8,0.97,"Grinding and polishing workers, hand",High,51,Production,0.0,0.05869476684992872,0.0,0.02934738342496436,True,Declining,0.18,0.19
"        Mixing and blending machine setters, operators, and tenders",51-9023,101.1,94.3,-6.8,-6.8,47680.0,High school diploma or equivalent,8.8,0.83,"Mixing and blending machine setters, operators, and tenders",High,51,Production,1.0,0.08918753817959682,0.16666666666666666,0.12792710242313174,False,Declining,0.2,0.18
"        Cutters and trimmers, hand",51-9031,7.0,5.7,-1.3,-18.1,38800.0,No formal educational credential,0.6,0.64,"Cutters and trimmers, hand",Medium,51,Production,0.0,0.043982895540623096,0.0,0.021991447770311548,False,Declining,0.18,0.25
"        Cutting and slicing machine setters, operators, and tenders",51-9032,49.0,47.9,-1.1,-2.3,45700.0,High school diploma or equivalent,5.3,0.86,"Cutting and slicing machine setters, operators, and tenders",High,51,Production,1.0,0.07910812461820402,0.16666666666666666,0.12288739564243534,True,Declining,0.23,0.22
"      Extruding, forming, pressing, and compacting machine setters, operators, and tenders",51-9041,57.3,58.4,1.1,2.0,45130.0,High school diploma or equivalent,5.2,0.93,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",High,51,Production,1.0,0.07620647525962126,0.16666666666666666,0.12143657096314396,True,Growing,0.16,0.155
"      Furnace, kiln, oven, drier, and kettle operators and tenders",51-9051,16.5,17.0,0.5,3.0,47010.0,High school diploma or equivalent,1.9,0.37,"Furnace, kiln, oven, drier, and kettle operators and tenders",Medium,51,Production,1.0,0.08577682753003463,0.16666666666666666,0.12622174709835066,False,Growing,0.19000000000000003,0.17666666666666667
"      Inspectors, testers, sorters, samplers, and weighers",51-9061,598.0,598.1,0.1,0.0,47460.0,High school diploma or equivalent,69.9,0.98,"Inspectors, testers, sorters, samplers, and weighers",High,51,Production,1.0,0.08806760333944208,0.16666666666666666,0.12736713500305435,False,Stable,0.31,0.4
      Jewelers and precious stone and metal workers,51-9071,35.1,33.2,-1.9,-5.5,49140.0,High school diploma or equivalent,4.0,0.95,Jewelers and precious stone and metal workers,High,51,Production,1.0,0.09661983302789653,0.16666666666666666,0.1316432498472816,False,Declining,0.18,0.15
        Dental laboratory technicians,51-9081,35.2,33.6,-1.6,-4.7,48310.0,High school diploma or equivalent,3.9,0.97,Dental laboratory technicians,High,51,Production,1.0,0.09239462431276727,0.16666666666666666,0.12953064548971696,False,Declining,0.18,0.16
        Medical appliance technicians,51-9082,12.0,12.4,0.4,3.7,47060.0,High school diploma or equivalent,1.5,0.45,Medical appliance technicians,Medium,51,Production,1.0,0.08603135817552432,0.16666666666666666,0.12634901242109547,False,Growing,0.18,0.16
        Ophthalmic laboratory technicians,51-9083,19.6,20.0,0.5,2.3,38420.0,High school diploma or equivalent,2.4,0.97,Ophthalmic laboratory technicians,High,51,Production,1.0,0.04204846263490125,0.16666666666666666,0.10435756465078395,True,Growing,0.14,0.08
      Packaging and filling machine operators and tenders,51-9111,381.2,398.2,17.0,4.5,40900.0,High school diploma or equivalent,45.3,0.98,Packaging and filling machine operators and tenders,High,51,Production,1.0,0.0546731826511912,0.16666666666666666,0.11066992465892893,True,Growing,0.22,0.23
"        Painting, coating, and decorating workers",51-9123,8.8,8.9,0.1,1.4,40860.0,No formal educational credential,0.8,0.92,"Painting, coating, and decorating workers",High,51,Production,0.0,0.05446955813479942,0.0,0.02723477906739971,True,Growing,0.18,0.24
      Semiconductor processing technicians,51-9141,31.9,35.4,3.5,10.9,51180.0,High school diploma or equivalent,3.9,0.88,Semiconductor Processors,High,51,Production,1.0,0.107004683363877,0.16666666666666666,0.13683567501527183,False,Growing,,
      Photographic process workers and processing machine operators,51-9151,11.2,10.9,-0.3,-2.6,40100.0,High school diploma or equivalent,1.5,0.99,Photographic process workers and processing machine operators,High,51,Production,1.0,0.050600692323355734,0.16666666666666666,0.1086336794950112,True,Declining,0.27,0.31
        Adhesive bonding machine operators and tenders,51-9191,12.2,12.3,0.1,1.0,45210.0,High school diploma or equivalent,1.3,0.95,Adhesive bonding machine operators and tenders,High,51,Production,1.0,0.07661372429240482,0.16666666666666666,0.12164019547953574,True,Growing,0.2,0.18
"        Cleaning, washing, and metal pickling equipment operators and tenders",51-9192,14.6,15.2,0.5,3.6,41460.0,High school diploma or equivalent,1.6,0.81,"Cleaning, washing, and metal pickling equipment operators and tenders",High,51,Production,1.0,0.057523925880676036,0.16666666666666666,0.11209529627367135,True,Growing,0.23,0.25333333333333335
        Cooling and freezing equipment operators and tenders,51-9193,7.1,7.6,0.5,7.2,40160.0,High school diploma or equivalent,0.8,0.93,Cooling and freezing equipment operators and tenders,High,51,Production,1.0,0.0509061290979434,0.16666666666666666,0.10878639788230503,True,Growing,0.15,0.16
        Etchers and engravers,51-9194,8.6,8.6,-0.1,-0.7,40450.0,High school diploma or equivalent,0.9,0.98,Etchers and engravers,High,51,Production,1.0,0.052382406841783746,0.16666666666666666,0.1095245367542252,True,Declining,0.23,0.3
"        Molders, shapers, and casters, except metal and plastic",51-9195,41.7,44.3,2.6,6.2,45690.0,High school diploma or equivalent,5.5,0.9,"Molders, shapers, and casters, except metal and plastic",High,51,Production,1.0,0.07905721848910607,0.16666666666666666,0.12286194257788637,True,Growing,0.18333333333333335,0.18666666666666668
"        Paper goods machine setters, operators, and tenders",51-9196,97.5,91.4,-6.1,-6.3,49390.0,High school diploma or equivalent,8.1,0.67,"Paper goods machine setters, operators, and tenders",Medium,51,Production,1.0,0.09789248625534516,0.16666666666666666,0.1322795764610059,False,Declining,0.23,0.255
        Tire builders,51-9197,20.9,21.4,0.5,2.3,55580.0,High school diploma or equivalent,2.5,0.94,Tire builders,High,51,Production,1.0,0.1294033801669721,0.16666666666666666,0.14803502341681937,False,Growing,0.18,0.18
        Helpers--production workers,51-9198,168.5,153.5,-15.0,-8.9,38220.0,High school diploma or equivalent,23.6,0.66,Helpers–production workers,Medium,51,Production,1.0,0.04103034005294237,0.16666666666666666,0.10384850335980451,False,Declining,0.12,0.1
"        Airline pilots, copilots, and flight engineers",53-2011,100.0,103.9,3.9,3.9,226600.0,Bachelor's degree,11.7,0.18,"Airline pilots, copilots, and flight engineers",Low,53,Transportation,4.0,1.0,0.6666666666666666,0.8333333333333333,False,Growing,0.27,0.24
        Commercial pilots,53-2012,55.4,58.3,2.8,5.1,122670.0,Postsecondary nondegree award,6.6,0.55,Commercial pilots,Medium,53,Transportation,,0.47093260028507433,0.16666666666666666,0.3187996334758705,False,Growing,0.27,0.24
        Air traffic controllers,53-2021,24.1,24.4,0.3,1.2,144580.0,Associate's degree,2.2,0.11,Air traffic controllers,Low,53,Transportation,3.0,0.5824679291386683,0.5,0.5412339645693341,False,Growing,0.31,0.3
        Airfield operations specialists,53-2022,16.9,17.6,0.7,4.2,56750.0,High school diploma or equivalent,1.6,0.71,Airfield operations specialists,High,53,Transportation,1.0,0.13535939727143145,0.16666666666666666,0.15101303196904906,False,Growing,,
      Flight attendants,53-2031,130.8,142.9,12.1,9.2,67130.0,High school diploma or equivalent,19.8,0.35,Flight attendants,Medium,53,Transportation,1.0,0.18819995927509672,0.16666666666666666,0.1774333129708817,False,Growing,0.22,0.31
"      Ambulance drivers and attendants, except emergency medical technicians",53-3011,12.3,12.1,-0.2,-1.3,34330.0,High school diploma or equivalent,1.4,0.25,"Ambulance drivers and attendants, except emergency medical technicians",Low,53,Transportation,1.0,0.0212278558338424,0.16666666666666666,0.09394726125025453,False,Declining,0.28,0.24
        Driver/sales workers,53-3031,451.5,491.3,39.8,8.8,37130.0,High school diploma or equivalent,51.3,0.98,Driver/sales workers,High,53,Transportation,1.0,0.03548157198126656,0.16666666666666666,0.10107411932396661,True,Growing,0.28,0.24
        Heavy and tractor-trailer truck drivers,53-3032,2235.1,2324.4,89.3,4.0,57440.0,Postsecondary nondegree award,237.6,0.79,Heavy and tractor-trailer truck drivers,High,53,Transportation,,0.13887192017918956,0.16666666666666666,0.1527692934229281,False,Growing,0.24,0.23
        Light truck drivers,53-3033,1079.8,1158.6,78.9,7.3,44140.0,High school diploma or equivalent,120.2,0.69,Light truck or delivery services drivers,Medium,53,Transportation,1.0,0.07116676847892486,0.16666666666666666,0.11891671757279576,False,Growing,0.28,0.24
        Locomotive engineers,53-4011,27.0,27.2,0.2,0.7,77400.0,High school diploma or equivalent,2.2,0.96,Locomotive engineers,High,53,Transportation,1.0,0.24048055385868458,0.16666666666666666,0.20357361026267562,False,Growing,0.2,0.26
"        Rail yard engineers, dinkey operators, and hostlers",53-4013,3.1,3.1,0.0,0.3,58030.0,High school diploma or equivalent,0.2,0.91,"Rail yard engineers, dinkey operators, and hostlers",High,53,Transportation,1.0,0.14187538179596823,0.16666666666666666,0.15427102423131744,False,Growing,0.2,0.26
      Railroad conductors and yardmasters,53-4031,36.8,37.2,0.4,1.1,74080.0,High school diploma or equivalent,3.1,0.83,Railroad conductors and yardmasters,High,53,Transportation,1.0,0.2235797189981674,0.16666666666666666,0.19512319283241703,False,Growing,0.17,0.22
      Subway and streetcar operators,53-4041,9.6,9.9,0.3,3.4,84830.0,High school diploma or equivalent,0.9,0.86,Subway and streetcar operators,High,53,Transportation,1.0,0.27830380777845654,0.16666666666666666,0.22248523722256158,False,Growing,0.19,0.23
      Sailors and marine oilers,53-5011,32.1,32.8,0.7,2.3,49610.0,No formal educational credential,3.9,0.83,Sailors and marine oilers,High,53,Transportation,0.0,0.09901242109549988,0.0,0.04950621054774994,True,Growing,0.14,0.12
"        Captains, mates, and pilots of water vessels",53-5021,40.7,40.9,0.2,0.5,85540.0,Postsecondary nondegree award,4.3,0.27,"Captains, mates, and pilots of water vessels",Low,53,Transportation,,0.28191814294441053,0.16666666666666666,0.22429240480553858,False,Growing,0.29,0.35
        Motorboat operators,53-5022,2.7,2.8,0.0,1.4,51880.0,Postsecondary nondegree award,0.3,0.62,Motorboat operators,Medium,53,Transportation,,0.11056811240073303,0.16666666666666666,0.13861738953369984,False,Growing,0.14,0.12
      Ship engineers,53-5031,8.8,9.0,0.1,1.6,101320.0,Postsecondary nondegree award,1.1,0.041,Ship engineers,Low,53,Transportation,,0.36224801466096523,0.16666666666666666,0.26445734066381593,False,Growing,0.23,0.29
      Bridge and lock tenders,53-6011,2.9,2.8,-0.1,-3.3,58490.0,High school diploma or equivalent,0.3,0.97,Bridge and lock tenders,High,53,Transportation,1.0,0.14421706373447366,0.16666666666666666,0.15544186520057016,False,Declining,0.18,0.16
      Parking attendants,53-6021,135.7,139.8,4.0,3.0,34600.0,No formal educational credential,18.5,0.87,Parking lot attendants,High,53,Transportation,0.0,0.022602321319486862,0.0,0.011301160659743431,True,Growing,0.29,0.38
        Automotive and watercraft service attendants,53-6031,100.0,99.0,-1.0,-1.0,34850.0,No formal educational credential,14.4,0.83,Automotive and watercraft service attendants,High,53,Transportation,0.0,0.023874974546935462,0.0,0.011937487273467731,True,Declining,0.24,0.28
      Traffic technicians,53-6041,7.9,8.2,0.3,3.7,58480.0,High school diploma or equivalent,0.8,0.9,Traffic technicians,High,53,Transportation,1.0,0.14416615760537568,0.16666666666666666,0.15541641213602117,False,Growing,0.26,0.42
      Transportation inspectors,53-6051,25.7,26.1,0.4,1.7,85750.0,High school diploma or equivalent,2.5,0.9,Transportation inspectors,High,53,Transportation,1.0,0.2829871716554673,0.16666666666666666,0.22482691916106695,False,Growing,0.24,0.32
      Passenger attendants,53-6061,25.6,26.8,1.2,4.7,37560.0,High school diploma or equivalent,4.1,0.75,"Transportation attendants, except flight attendants",High,53,Transportation,1.0,0.03767053553247812,0.16666666666666666,0.10216860109957239,True,Growing,0.235,0.33999999999999997
      Conveyor operators and tenders,53-7011,29.1,28.1,-1.0,-3.4,41230.0,No formal educational credential,2.6,0.93,Conveyor operators and tenders,High,53,Transportation,0.0,0.05635308491142332,0.0,0.02817654245571166,True,Declining,,
      Crane and tower operators,53-7021,42.3,43.5,1.3,3.0,66370.0,High school diploma or equivalent,3.8,0.9,Crane and tower operators,High,53,Transportation,1.0,0.18433109346365303,0.16666666666666666,0.17549888006515985,False,Growing,0.18,0.16
      Dredge operators,53-7031,1.1,1.2,0.0,1.2,48430.0,High school diploma or equivalent,0.1,0.92,Dredge operators,High,53,Transportation,1.0,0.09300549786194257,0.16666666666666666,0.1298360822643046,False,Growing,0.13,0.12
      Hoist and winch operators,53-7041,2.7,2.7,0.0,-1.1,52310.0,No formal educational credential,0.3,0.65,Hoist and winch operators,Medium,53,Transportation,0.0,0.11275707595194459,0.0,0.056378537975972295,False,Declining,0.18,0.16
      Industrial truck and tractor operators,53-7051,792.5,801.6,9.1,1.1,46390.0,No formal educational credential,76.4,0.93,Industrial truck and tractor operators,High,53,Transportation,0.0,0.08262064752596213,0.0,0.04131032376298106,True,Growing,0.2,0.32
        Cleaners of vehicles and equipment,53-7061,410.1,426.2,16.0,3.9,35270.0,No formal educational credential,56.2,0.37,Cleaners of vehicles and equipment,Medium,53,Transportation,0.0,0.026013031969049083,0.0,0.013006515984524541,False,Growing,0.105,0.10500000000000001
"        Laborers and freight, stock, and material movers, hand",53-7062,2988.9,3033.1,44.3,1.5,38940.0,No formal educational credential,384.3,0.85,"Labourers and freight, stock, and material movers, hand",High,53,Transportation,0.0,0.044695581347994284,0.0,0.022347790673997142,True,Growing,0.11666666666666665,0.12666666666666668
        Machine feeders and offbearers,53-7063,46.5,40.4,-6.0,-13.0,39700.0,No formal educational credential,4.7,0.93,Machine feeders and offbearers,High,53,Transportation,0.0,0.048564447159438,0.0,0.024282223579719,True,Declining,0.12,0.1
"        Packers and packagers, hand",53-7064,591.8,559.7,-32.2,-5.4,35580.0,No formal educational credential,74.0,0.38,"Packers and packagers, hand",Medium,53,Transportation,0.0,0.02759112197108532,0.0,0.01379556098554266,False,Declining,0.2,0.13
        Gas compressor and gas pumping station operators,53-7071,5.4,5.3,-0.1,-1.3,71510.0,High school diploma or equivalent,0.6,0.91,Gas compressor and gas pumping station operators,High,53,Transportation,1.0,0.21049684381999592,0.16666666666666666,0.1885817552433313,False,Declining,0.29,0.3
"        Pump operators, except wellhead pumpers",53-7072,13.1,13.5,0.3,2.6,60020.0,High school diploma or equivalent,1.5,0.9,"Pump operators, except wellhead pumpers",High,53,Transportation,1.0,0.15200570148645895,0.16666666666666666,0.1593361840765628,False,Growing,0.28,0.305
        Wellhead pumpers,53-7073,18.8,17.9,-0.9,-4.7,70010.0,High school diploma or equivalent,2.0,0.84,Wellhead pumpers,High,53,Transportation,1.0,0.20286092445530443,0.16666666666666666,0.18476379556098554,False,Declining,0.19,0.22
      Refuse and recyclable material collectors,53-7081,147.9,149.2,1.3,0.9,48350.0,No formal educational credential,16.9,0.93,Refuse and recyclable material collectors,High,53,Transportation,0.0,0.09259824882915904,0.0,0.04629912441457952,True,Growing,0.135,0.12000000000000001
"      Tank car, truck, and ship loaders",53-7121,12.0,12.5,0.5,4.3,58070.0,No formal educational credential,1.3,0.72,"Tank car, truck, and ship loaders",High,53,Transportation,0.0,0.14207900631236,0.0,0.07103950315618,True,Growing,0.14,0.17
